instant,dteday,atemp,casual,registered,cnt,Label
534,2012/6/17,0.571975,2634,4344,6978,Cool
535,2012/6/18,0.544842,653,4446,5099,Cool
536,2012/6/19,0.654692,968,5857,6825,Warm
537,2012/6/20,0.720975,872,5339,6211,Warm
538,2012/6/21,0.752542,778,5127,5905,Warm
539,2012/6/22,0.724121,964,4859,5823,Warm
540,2012/6/23,0.652792,2657,4801,7458,Warm
541,2012/6/24,0.674254,2551,4340,6891,Warm
542,2012/6/25,0.654042,1139,5640,6779,Warm
543,2012/6/26,0.594704,1077,6365,7442,Cool
544,2012/6/27,0.640792,1077,6258,7335,Warm
545,2012/6/28,0.675512,921,5958,6879,Warm
546,2012/6/29,0.786613,829,4634,5463,Warm
547,2012/6/30,0.687508,1455,4232,5687,Warm
548,2012/7/1,0.750629,1421,4110,5531,Warm
549,2012/7/2,0.702038,904,5323,6227,Warm
550,2012/7/3,0.70265,1052,5608,6660,Warm
551,2012/7/4,0.732337,2562,4841,7403,Warm
552,2012/7/5,0.761367,1405,4836,6241,Warm
553,2012/7/6,0.752533,1366,4841,6207,Warm
554,2012/7/7,0.804913,1448,3392,4840,Hot
555,2012/7/8,0.790396,1203,3469,4672,Warm
556,2012/7/9,0.654054,998,5571,6569,Warm
557,2012/7/10,0.664796,954,5336,6290,Warm
558,2012/7/11,0.650271,975,6289,7264,Warm
559,2012/7/12,0.654683,1032,6414,7446,Warm
560,2012/7/13,0.667933,1511,5988,7499,Warm
561,2012/7/14,0.666042,2355,4614,6969,Warm
562,2012/7/15,0.705196,1920,4111,6031,Warm
563,2012/7/16,0.724125,1088,5742,6830,Warm
564,2012/7/17,0.755683,921,5865,6786,Warm
565,2012/7/18,0.745583,799,4914,5713,Warm
566,2012/7/19,0.714642,888,5703,6591,Warm
567,2012/7/20,0.613025,747,5123,5870,Warm
568,2012/7/21,0.549912,1264,3195,4459,Cool
569,2012/7/22,0.623125,2544,4866,7410,Warm
570,2012/7/23,0.690017,1135,5831,6966,Warm
571,2012/7/24,0.70645,1140,6452,7592,Warm
572,2012/7/25,0.654054,1383,6790,8173,Warm
573,2012/7/26,0.739263,1036,5825,6861,Warm
574,2012/7/27,0.734217,1259,5645,6904,Warm
575,2012/7/28,0.697604,2234,4451,6685,Warm
576,2012/7/29,0.667933,2153,4444,6597,Warm
577,2012/7/30,0.684987,1040,6065,7105,Warm
578,2012/7/31,0.662896,968,6248,7216,Warm
579,2012/8/1,0.667308,1074,6506,7580,Warm
580,2012/8/2,0.707088,983,6278,7261,Warm
581,2012/8/3,0.722867,1328,5847,7175,Warm
582,2012/8/4,0.751267,2345,4479,6824,Warm
583,2012/8/5,0.731079,1707,3757,5464,Warm
584,2012/8/6,0.710246,1233,5780,7013,Warm
585,2012/8/7,0.697621,1278,5995,7273,Warm
586,2012/8/8,0.707717,1263,6271,7534,Warm
587,2012/8/9,0.699508,1196,6090,7286,Warm
588,2012/8/10,0.667942,1065,4721,5786,Warm
589,2012/8/11,0.638267,2247,4052,6299,Warm
590,2012/8/12,0.644579,2182,4362,6544,Warm
591,2012/8/13,0.662254,1207,5676,6883,Warm
592,2012/8/14,0.676779,1128,5656,6784,Warm
593,2012/8/15,0.654037,1198,6149,7347,Warm
594,2012/8/16,0.654688,1338,6267,7605,Warm
595,2012/8/17,0.2424,1483,5665,7148,Cold
596,2012/8/18,0.618071,2827,5038,7865,Warm
597,2012/8/19,0.603554,1208,3341,4549,Warm
598,2012/8/20,0.595967,1026,5504,6530,Cool
599,2012/8/21,0.601025,1081,5925,7006,Warm
600,2012/8/22,0.621854,1094,6281,7375,Warm
601,2012/8/23,0.637008,1363,6402,7765,Warm
602,2012/8/24,0.6471,1325,6257,7582,Warm
603,2012/8/25,0.618696,1829,4224,6053,Warm
604,2012/8/26,0.595996,1483,3772,5255,Cool
605,2012/8/27,0.654688,989,5928,6917,Warm
606,2012/8/28,0.66605,935,6105,7040,Warm
607,2012/8/29,0.635733,1177,6520,7697,Warm
608,2012/8/30,0.652779,1172,6541,7713,Warm
609,2012/8/31,0.6894,1433,5917,7350,Warm
610,2012/9/1,0.702654,2352,3788,6140,Warm
611,2012/9/2,0.649,2613,3197,5810,Warm
612,2012/9/3,0.661629,1965,4069,6034,Warm
613,2012/9/4,0.686888,867,5997,6864,Warm
614,2012/9/5,0.708983,832,6280,7112,Warm
615,2012/9/6,0.655329,611,5592,6203,Warm
616,2012/9/7,0.657204,1045,6459,7504,Warm
617,2012/9/8,0.611121,1557,4419,5976,Warm
618,2012/9/9,0.578925,2570,5657,8227,Cool
619,2012/9/10,0.565654,1118,6407,7525,Cool
620,2012/9/11,0.554292,1070,6697,7767,Cool
621,2012/9/12,0.570075,1050,6820,7870,Cool
622,2012/9/13,0.579558,1054,6750,7804,Cool
623,2012/9/14,0.594083,1379,6630,8009,Cool
624,2012/9/15,0.585867,3160,5554,8714,Cool
625,2012/9/16,0.563125,2166,5167,7333,Cool
626,2012/9/17,0.55305,1022,5847,6869,Cool
627,2012/9/18,0.565067,371,3702,4073,Cool
628,2012/9/19,0.540404,788,6803,7591,Cool
629,2012/9/20,0.532192,939,6781,7720,Cool
630,2012/9/21,0.571971,1250,6917,8167,Cool
631,2012/9/22,0.610488,2512,5883,8395,Warm
632,2012/9/23,0.518933,2454,5453,7907,Cool
633,2012/9/24,0.502513,1001,6435,7436,Cool
634,2012/9/25,0.544179,845,6693,7538,Cool
635,2012/9/26,0.596613,787,6946,7733,Cool
636,2012/9/27,0.607975,751,6642,7393,Warm
637,2012/9/28,0.585863,1045,6370,7415,Cool
638,2012/9/29,0.530296,2589,5966,8555,Cool
639,2012/9/30,0.517663,2015,4874,6889,Cool
640,2012/10/1,0.512,763,6015,6778,Cool
641,2012/10/2,0.542333,315,4324,4639,Cool
642,2012/10/3,0.599133,728,6844,7572,Cool
643,2012/10/4,0.607975,891,6437,7328,Warm
644,2012/10/5,0.580187,1516,6640,8156,Cool
645,2012/10/6,0.538521,3031,4934,7965,Cool
646,2012/10/7,0.419813,781,2729,3510,Cool
647,2012/10/8,0.387608,874,4604,5478,Cold
648,2012/10/9,0.438112,601,5791,6392,Cool
649,2012/10/10,0.503142,780,6911,7691,Cool
650,2012/10/11,0.431167,834,6736,7570,Cool
651,2012/10/12,0.433071,1060,6222,7282,Cool
652,2012/10/13,0.391396,2252,4857,7109,Cold
653,2012/10/14,0.508204,2080,4559,6639,Cool
654,2012/10/15,0.53915,760,5115,5875,Cool
655,2012/10/16,0.460846,922,6612,7534,Cool
656,2012/10/17,0.450108,979,6482,7461,Cool
657,2012/10/18,0.512625,1008,6501,7509,Cool
658,2012/10/19,0.537896,753,4671,5424,Cool
659,2012/10/20,0.472842,2806,5284,8090,Cool
660,2012/10/21,0.456429,2132,4692,6824,Cool
661,2012/10/22,0.482942,830,6228,7058,Cool
662,2012/10/23,0.530304,841,6625,7466,Cool
663,2012/10/24,0.558721,795,6898,7693,Cool
664,2012/10/25,0.529688,875,6484,7359,Cool
665,2012/10/26,0.52275,1182,6262,7444,Cool
666,2012/10/27,0.515133,2643,5209,7852,Cool
667,2012/10/28,0.467771,998,3461,4459,Cool
668,2012/10/29,0.4394,2,20,22,Cool
669,2012/10/30,0.309909,87,1009,1096,Cold
670,2012/10/31,0.3611,419,5147,5566,Cold
671,2012/11/1,0.369942,466,5520,5986,Cold
672,2012/11/2,0.356042,618,5229,5847,Cold
673,2012/11/3,0.323846,1029,4109,5138,Cold
674,2012/11/4,0.329538,1201,3906,5107,Cold
675,2012/11/5,0.308075,378,4881,5259,Cold
676,2012/11/6,0.281567,466,5220,5686,Cold
677,2012/11/7,0.274621,326,4709,5035,Cold
678,2012/11/8,0.341891,340,4975,5315,Cold
679,2012/11/9,0.355413,709,5283,5992,Cold
680,2012/11/10,0.393937,2090,4446,6536,Cold
681,2012/11/11,0.421713,2290,4562,6852,Cool
682,2012/11/12,0.475383,1097,5172,6269,Cool
683,2012/11/13,0.323225,327,3767,4094,Cold
684,2012/11/14,0.281563,373,5122,5495,Cold
685,2012/11/15,0.324492,320,5125,5445,Cold
686,2012/11/16,0.347204,484,5214,5698,Cold
687,2012/11/17,0.326383,1313,4316,5629,Cold
688,2012/11/18,0.337746,922,3747,4669,Cold
689,2012/11/19,0.375621,449,5050,5499,Cold
690,2012/11/20,0.380667,534,5100,5634,Cold
691,2012/11/21,0.364892,615,4531,5146,Cold
692,2012/11/22,0.350371,955,1470,2425,Cold
693,2012/11/23,0.378779,1603,2307,3910,Cold
694,2012/11/24,0.248742,532,1745,2277,Cold
695,2012/11/25,0.257583,309,2115,2424,Cold
696,2012/11/26,0.339004,337,4750,5087,Cold
697,2012/11/27,0.281558,123,3836,3959,Cold
698,2012/11/28,0.289762,198,5062,5260,Cold
699,2012/11/29,0.298422,243,5080,5323,Cold
700,2012/11/30,0.323867,362,5306,5668,Cold
701,2012/12/1,0.316904,951,4240,5191,Cold
702,2012/12/2,0.359208,892,3757,4649,Cold
703,2012/12/3,0.455796,555,5679,6234,Cool
704,2012/12/4,0.469054,551,6055,6606,Cool
705,2012/12/5,0.428012,331,5398,5729,Cool
706,2012/12/6,0.258204,340,5035,5375,Cold
707,2012/12/7,0.321958,349,4659,5008,Cold
708,2012/12/8,0.389508,1153,4429,5582,Cold
709,2012/12/9,0.390146,441,2787,3228,Cold
710,2012/12/10,0.435575,329,4841,5170,Cool
711,2012/12/11,0.338363,282,5219,5501,Cold
712,2012/12/12,0.297338,310,5009,5319,Cold
713,2012/12/13,0.294188,425,5107,5532,Cold
714,2012/12/14,0.294192,429,5182,5611,Cold
715,2012/12/15,0.338383,767,4280,5047,Cold
716,2012/12/16,0.369938,538,3248,3786,Cold
717,2012/12/17,0.4015,212,4373,4585,Cool
718,2012/12/18,0.409708,433,5124,5557,Cool
719,2012/12/19,0.342162,333,4934,5267,Cold
720,2012/12/20,0.335217,314,3814,4128,Cold
721,2012/12/21,0.301767,221,3402,3623,Cold
722,2012/12/22,0.236113,205,1544,1749,Cold
723,2012/12/23,0.259471,408,1379,1787,Cold
724,2012/12/24,0.2589,174,746,920,Cold
725,2012/12/25,0.294465,440,573,1013,Cold
726,2012/12/26,0.220333,9,432,441,Cold
727,2012/12/27,0.226642,247,1867,2114,Cold
728,2012/12/28,0.255046,644,2451,3095,Cold
729,2012/12/29,0.2424,159,1182,1341,Cold
730,2012/12/30,0.2317,364,1432,1796,Cold
731,2012/12/31,0.223487,439,2290,2729,Cold
